yyyy-mm-dd;yyyy-mm-dd hh24:00:00;yyyy-mm-dd hh24:mi:00;yyyy-mm-dd hh24:mis:ss;thread type;thread name;thread state;last call;last custom call
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-16;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-18;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-25;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;container;container-8;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwReader;LLENwReader;RUNNABLE;at java.net.SocketInputStream.socketRead0(java.base@11.0.10/Native Method);at bea.jolt.NwReader.run(NwHdlr.java:4001)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;LLENwWriter;LLENwWriter;WAITING (on object monitor);at java.lang.Object.wait(java.base@11.0.10/Native Method);at bea.jolt.NwWriter.run(NwHdlr.java:4366)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-33;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-36;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-46;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-49;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-53;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-59;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-63;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-76;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;http-nio-7012-exec;http-nio-7012-exec-77;TIMED_WAITING (parking);at jdk.internal.misc.Unsafe.park(java.base@11.0.10/Native Method);at java.lang.Thread.run(java.base@11.0.10/Thread.java:834)
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;VM Thread;VM Thread;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;GC Thread#0;GC Thread#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Main Marker;G1 Main Marker;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Conc#0;G1 Conc#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Refine#0;G1 Refine#0;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;G1 Young RemSet Sampling;G1 Young RemSet Sampling;null;;
2021-03-29;2021-03-29 06:00:00;2021-03-29 06:57:00;2021-03-29 06:57:51;VM Periodic Task Thread;VM Periodic Task Thread;null;;
